Date,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,libor,USDJPY,GBPUSD,FTSE100,NYSE,MS,JPM,Nikkei225
2010-07-12,137.25,134.44000042857144,135.40714304761903,136.8672309310959,135.4106610951265,-1.4565698359693897,2.5467473919053685,140.50063783142977,130.3136482638083,137.1965784615654,136.25,4.914491433543353,0.34,88.76,1.5022,5167.02,6794.47998,24.559998999999998,39.189999,9548.110352
2010-07-13,140.25,135.74142914285716,135.6266669047619,137.1178154042662,136.15517477296632,-0.9626406312998768,2.7208349537398293,141.06833681224154,130.18499699728224,139.23219282052182,139.25,4.9362708788073935,0.34,88.83,1.5176,5271.02,6907.779785,25.66,40.48,9537.230469
2010-07-14,139.059998,136.88142857142856,135.89428576190477,137.26168555908254,136.60207065413323,-0.6596149049493079,2.8108503416911708,141.5159864452871,130.27258507852244,139.1173962735073,138.059998,4.927688358788874,0.34,88.3,1.5261,5253.52,6903.359863,25.540001,40.349998,9795.240234
2010-07-15,145.220001,138.732858,136.2904765714286,137.8512085322143,137.92790609217178,0.07669755995749483,3.503518296920792,143.29751316527017,129.28343997758702,143.18579942450242,144.220001,4.971339918422465,0.34,87.43,1.5457,5211.29,6916.810059,25.59,40.459998999999996,9685.530273
2010-07-16,146.169998,140.21000028571427,136.72428609523809,138.46743270262408,139.19592023200994,0.728487529385859,4.145562549415919,145.0154111940699,128.43316099640626,145.1752651415008,145.169998,4.977905455696385,0.34,86.57,1.5291,5158.85,6709.509765999999,24.74,39.0,9408.360352
2010-07-21,146.990005,144.6114284285714,138.07380976190476,140.273045933068,142.37378742347744,2.1007414904094333,5.656427804710959,149.38666537132667,126.76095415248284,147.2524209311667,145.990005,4.983538160460809,0.33,86.85,1.5166,5214.64,6731.160156,26.799999,38.419998,9278.830078
2010-07-22,146.550003,145.51142885714285,138.63381023809524,140.73801544548712,143.01628212760258,2.278266682115458,5.895457750756763,150.42472573960876,126.84289473658171,146.78414231038892,145.550003,4.9805196908031055,0.33,87.22,1.5254,5313.81,6901.910156,26.790001,39.349998,9220.879883
2010-07-23,147.380005,146.70000128571428,139.22000061904762,141.23002420460944,143.68762410801097,2.4575999034015297,6.119040403235755,151.45808142551914,126.98191981257611,147.181384103463,146.380005,4.986206014330753,0.33,87.46,1.5436,5312.62,6965.109863,26.889999,39.830002,9430.959961
2010-07-26,148.199997,147.12571499999999,139.84952447619048,141.7463277483264,144.38183532219773,2.6355075738713367,6.42605572198965,152.7016359201698,126.99741303221118,147.860459367821,147.199997,4.991792185914341,0.33,86.91,1.5486,5351.12,7046.0,27.0,40.330002,9503.660156
2010-07-27,147.229996,147.2771432857143,140.2100002857143,142.1525321441714,144.82001388803195,2.6674817438605487,6.581878672018259,153.37375762975083,127.04624294167778,147.4401504559403,146.229996,4.9851806972696195,0.32,87.82,1.5591,5365.67,7044.990234000001,27.0,40.689999,9496.849609
2010-07-28,147.199997,147.4942867142857,140.71190471428577,142.52642418055075,145.1861651360401,2.6597409554893545,6.5556565277395595,153.82321776976488,127.60059165880665,147.28004815198008,146.199997,4.984975526795842,0.32,87.41,1.5592,5319.68,6999.180176000001,27.01,40.32,9753.269531
2010-07-29,152.580002,148.0185721428571,141.60809552380957,143.2711442545822,146.3236784997606,3.052534245178407,6.61234070674786,154.83277693730528,128.38341411031385,150.8133507173267,151.580002,5.021113551578236,0.31,86.78,1.5611,5313.95,6994.569823999999,26.99,40.209998999999996,9696.019531
2010-07-30,150.820007,148.56571528571425,142.5390480476191,143.83032664645657,147.01542134596897,3.1850946995124048,6.350738468872095,155.2405249853633,129.83757110987492,150.81778823910892,149.820007,5.0094346202424695,0.31,86.46,1.5684,5258.02,6998.990234000001,26.99,40.279999,9537.299805
2010-08-02,152.740005,149.45000128571425,143.5676197619048,144.49031087905735,147.89612652353125,3.405815644473904,6.030219334268137,155.6280584304411,131.50718109336853,152.09926607970297,151.740005,5.022168562861029,0.3,86.53,1.5894,5397.11,7174.899901999999,27.68,41.639998999999996,9570.30957
